('zr!y', [[47, 42, 10, 0], [42, 57]])
('bd_l', [[43, 22, 8, 25], [36, 63]])
('bd_h', [[12, 68, 3, 15], [26, 73]])
('`xg', [[40, 31, 0, 27], [54, 45]])
('ws_!', [[18, 62, 8, 10], [25, 75]])
('bd_y', [[9, 48, 41, 0], [6, 93]])
('bd_w', [[0, 7, 0, 92], [30, 69]])
('gWdy', [[33, 40, 26, 0], [18, 81]])
('`xw', [[22, 33, 5, 38], [30, 70]])
('!ttWw', [[0, 90, 10, 0], [20, 80]])
('tWwS', [[0, 100, 0, 0], [12, 87]])
('mWwll', [[0, 100, 0, 0], [63, 36]])
('wgH', [[21, 60, 3, 15], [20, 79]])
('qWds', [[27, 63, 0, 9], [8, 91]])
('mdr', [[57, 0, 7, 35], [21, 78]])
('Hf_r', [[38, 20, 12, 28], [19, 80]])
('k!y', [[14, 71, 4, 9], [26, 73]])
('xgr', [[37, 37, 8, 16], [30, 69]])
('Hf_t', [[0, 0, 100, 0], [0, 100]])
('ftWn', [[0, 90, 10, 0], [50, 50]])
('smy', [[35, 49, 7, 7], [35, 65]])
('smw', [[0, 3, 0, 96], [41, 58]])
('dst', [[7, 78, 7, 7], [14, 85]])
('wgn', [[40, 20, 4, 35], [19, 80]])
('smm', [[33, 58, 4, 4], [28, 72]])
('hys', [[5, 33, 50, 11], [5, 95]])
('wgy', [[20, 60, 8, 12], [14, 85]])
('Tan_g', [[70, 10, 0, 20], [45, 54]])
('nty', [[23, 62, 13, 0], [16, 83]])
('tWw_S', [[0, 100, 0, 0], [11, 88]])
('SSy', [[8, 50, 41, 0], [13, 86]])
('ntt', [[0, 75, 25, 0], [9, 90]])
('ntw', [[0, 58, 16, 25], [30, 69]])
('ntn', [[0, 85, 14, 0], [26, 73]])
('lgsl', [[0, 100, 0, 0], [20, 80]])
('dgs', [[10, 70, 10, 10], [10, 90]])
('lgsy', [[0, 90, 9, 0], [25, 74]])
('s`t', [[85, 0, 14, 0], [11, 88]])
('syw', [[21, 14, 58, 4], [2, 97]])
('zz_m', [[32, 53, 0, 13], [36, 63]])
('trkb', [[0, 90, 0, 9], [0, 100]])
('HgWs', [[25, 66, 8, 0], [38, 61]])
('Swd', [[64, 7, 0, 28], [64, 35]])
('kfy', [[20, 75, 0, 3], [43, 56]])
('Swy', [[15, 76, 7, 0], [38, 61]])
('trks', [[30, 20, 10, 40], [36, 63]])
('nhr', [[34, 38, 7, 19], [18, 81]])
('Swr', [[14, 57, 21, 7], [18, 81]])
('Tqly', [[0, 54, 45, 0], [0, 100]])
('rsrs', [[27, 63, 0, 9], [54, 45]])
('slsl', [[31, 56, 1, 10], [57, 42]])
('ly_t', [[0, 0, 100, 0], [0, 100]])
('nz!', [[0, 0, 0, 100], [0, 100]])
('Hb_!', [[0, 92, 7, 0], [38, 61]])
('slsw', [[0, 0, 0, 100], [90, 9]])
('slsy', [[0, 71, 28, 0], [18, 81]])
('CbTy', [[0, 90, 10, 0], [20, 80]])
('gyd', [[28, 9, 61, 0], [14, 85]])
('maTr', [[30, 50, 0, 20], [16, 83]])
('gyb', [[55, 5, 38, 0], [18, 81]])
('msrH', [[8, 64, 14, 11], [43, 56]])
('Hn_y', [[25, 58, 16, 0], [25, 75]])
('gyl', [[18, 18, 62, 0], [21, 78]])
('CbTw', [[0, 100, 0, 0], [46, 53]])
('gyw', [[11, 0, 88, 0], [0, 100]])
('Tay_t', [[0, 0, 100, 0], [0, 100]])
('kf!', [[26, 47, 4, 21], [31, 68]])
('was!', [[14, 73, 4, 8], [27, 72]])
('gwdy', [[25, 18, 56, 0], [22, 77]])
('gyz', [[46, 15, 38, 0], [8, 92]])
('gyy', [[11, 5, 83, 0], [0, 100]])
('Hb_t', [[0, 0, 100, 0], [0, 100]])
('Hb_s', [[15, 53, 7, 23], [7, 92]])
('kty', [[44, 38, 11, 5], [30, 69]])
('ktt', [[38, 26, 8, 26], [32, 67]])
('Hb_y', [[12, 71, 15, 0], [16, 83]])
('CbTT', [[0, 96, 3, 0], [42, 57]])
('ktm', [[52, 17, 5, 25], [43, 56]])
('Hd_w', [[0, 27, 18, 54], [9, 90]])
('zHmm', [[30, 0, 70, 0], [9, 90]])
('!ty', [[84, 8, 6, 0], [28, 71]])
('Hb_n', [[11, 66, 4, 16], [37, 62]])
('Hb_l', [[25, 50, 8, 16], [23, 76]])
('Hd_y', [[26, 21, 47, 4], [3, 96]])
('ktb', [[31, 40, 9, 18], [36, 63]])
('bk_l', [[26, 57, 0, 15], [42, 57]])
('mkny', [[21, 52, 21, 5], [12, 88]])
('kstt', [[0, 90, 9, 0], [63, 36]])
('lby', [[39, 46, 14, 0], [0, 100]])
('zw_r', [[26, 46, 11, 15], [34, 65]])
('lb`', [[26, 46, 6, 20], [37, 62]])
('lbd', [[60, 0, 10, 30], [40, 60]])
('SnHt', [[81, 0, 18, 0], [54, 45]])
('SnHy', [[65, 34, 0, 0], [44, 55]])
('lbm', [[64, 5, 11, 17], [41, 58]])
('Tqy', [[8, 83, 0, 8], [25, 75]])
('daq_q', [[10, 20, 10, 60], [20, 80]])
('zs_y', [[27, 54, 18, 0], [36, 63]])
('kayd', [[13, 63, 22, 0], [27, 72]])
('Syr', [[0, 0, 0, 100], [0, 100]])
('Syw', [[27, 37, 34, 0], [15, 84]])
('Syy', [[30, 10, 40, 20], [9, 90]])
('naf_q', [[13, 56, 0, 29], [29, 70]])
('tyl', [[46, 20, 26, 6], [5, 94]])
('tym', [[25, 41, 25, 8], [8, 91]])
('bs_`', [[25, 8, 0, 66], [33, 66]])
('mz_y', [[38, 38, 15, 7], [31, 68]])
('tyk', [[46, 15, 38, 0], [12, 87]])
('zb_y', [[18, 45, 18, 18], [35, 64]])
('bsr', [[38, 30, 23, 7], [21, 78]])
('qyr', [[36, 8, 0, 56], [3, 96]])
('qym', [[40, 30, 20, 10], [30, 69]])
('qaly', [[38, 15, 38, 7], [12, 87]])
('tyy', [[25, 16, 58, 0], [12, 88]])
('bs_r', [[53, 37, 0, 9], [36, 63]])
('qyd', [[2, 58, 0, 38], [35, 64]])
('tyw', [[13, 13, 70, 3], [2, 97]])
('bs`', [[13, 33, 0, 53], [26, 73]])
('tyr', [[55, 15, 20, 10], [20, 80]])
('qalH', [[23, 47, 0, 29], [26, 73]])
('gWys', [[43, 6, 50, 0], [0, 100]])
('gWyt', [[54, 8, 16, 20], [14, 85]])
('mgWsy', [[7, 92, 0, 0], [35, 64]])
('mx_T', [[20, 0, 70, 10], [0, 100]])
('gWyd', [[25, 8, 66, 0], [4, 95]])
('zmlT', [[76, 0, 23, 0], [23, 76]])
('wrzy', [[30, 70, 0, 0], [30, 70]])
('mkW_r', [[50, 33, 5, 11], [50, 50]])
('gmgm', [[16, 59, 6, 17], [35, 64]])
('`ym', [[46, 46, 6, 0], [36, 63]])
('`yn', [[0, 11, 16, 72], [0, 100]])
('lmlm', [[33, 33, 8, 25], [14, 85]])
('gmgy', [[0, 80, 20, 0], [27, 72]])
('ra!y', [[52, 12, 28, 8], [27, 72]])
('`yq', [[9, 0, 90, 0], [6, 93]])
('`yr', [[60, 10, 20, 10], [10, 90]])
('hrf', [[12, 62, 3, 21], [44, 55]])
('`yw', [[50, 30, 20, 0], [14, 85]])
