('dany', [[7, 73, 19, 0], [20, 79]])
('dhss', [[27, 54, 0, 18], [31, 68]])
('dlw', [[20, 24, 2, 51], [52, 48]])
('dly', [[37, 46, 5, 10], [48, 51]])
('dHr', [[13, 31, 13, 40], [28, 72]])
('dHn', [[27, 52, 9, 10], [26, 73]])
('dmss', [[18, 55, 3, 22], [24, 75]])
('dmq', [[39, 39, 2, 18], [41, 58]])
('dmy', [[36, 44, 18, 2], [18, 81]])
('dmdm', [[21, 56, 3, 18], [21, 78]])
('dmS', [[35, 43, 12, 7], [41, 58]])
('dm_r', [[22, 18, 0, 59], [7, 92]])
('drq', [[35, 21, 0, 42], [14, 85]])
('drz', [[56, 20, 8, 16], [7, 92]])
('drf', [[28, 55, 4, 12], [33, 66]])
('dr_r', [[21, 42, 14, 21], [14, 85]])
('dr_b', [[26, 36, 18, 18], [19, 80]])
('dr_k', [[21, 51, 0, 26], [41, 58]])
('dq_s', [[25, 43, 8, 21], [29, 70]])
('dbdb', [[30, 35, 10, 25], [25, 75]])
('db_s', [[31, 37, 21, 9], [18, 81]])
('dnagr', [[24, 40, 5, 29], [31, 68]])
('dnn', [[22, 37, 2, 37], [25, 75]])
('dngS', [[27, 53, 0, 19], [36, 63]])
('dngWy', [[35, 38, 22, 3], [21, 78]])
('dn_q', [[28, 57, 2, 10], [50, 50]])
('dkm', [[31, 43, 4, 21], [35, 64]])
('dw_l', [[27, 36, 8, 26], [24, 75]])
('dy_b', [[26, 47, 23, 2], [28, 72]])
('dgm', [[28, 47, 7, 16], [19, 80]])
('dg_f', [[24, 56, 6, 12], [36, 63]])
('dfr', [[26, 55, 1, 16], [33, 66]])
('df!', [[19, 55, 1, 22], [26, 73]])
('jm_r', [[43, 37, 5, 13], [44, 56]])
('gadm', [[10, 10, 10, 70], [8, 91]])
('ghd', [[37, 41, 5, 15], [35, 64]])
('glgl', [[21, 64, 2, 10], [39, 60]])
('glS', [[34, 46, 4, 14], [35, 64]])
