mwt	1010010
mWnmWn	0000100
mWndl	0000100
mWnCr	1000010
mWN*	0110000
mWkr	1100010
mWkx*	0000100
mWzz	1000100
mWdmWd	0000100
mWgs	0110000
mWgt	1000100
mWTmWT	1010100
mWCmWC	1010000
mWlT	1010000
mW'r	0010000
mWrt	0010000
mWx*	0010001
mWnn	1010000
mWTT	1110000
mWCr	1000001
sll	1110100	1010000
slm	0000100
slmlm	0110000
sls	1110000
slsl	1010000
slq	1100100	0100100
slb	1100000
slc*	1100100
slklk	0100000
sljj	1110000
slT	1010000
slTn	1010000
slf	1110000
sl'	1000100	0010100	0010000	1010000
smr	0110000	1110000
smnmn	0110000
smT	1010000
sm'	1111110
smr'	0110000
srsr	1100000	0110000	0010000
srq	1100000
srqrq	0110000
srz	1100000
sry*	0101000
srg	1110010
srgWd	1100000
srC*	0000100
srS	1010000
srf'	0000100
sr'	1101000	1100000
sql	1100100
sqsq	0100000
sqq	1110100
sqy*	0000100
sbsb	1100100
sbr	1100110
sbq	1000100
sbql	0000100
sbb	0000100
sbk	1100000
sbdbd	0100000
sb'	1010000
sbTr	1000100
str	1100000
stf	0000100
snq	1100000
snqr	1100000
snbt	1010110
snbT	1100000
snN	0000100
snkl	1000100
snzr	1100100
snd'	0000100
sng	1100000
sng'	1100000
snTq	1100010
snf	1010100
sN*	0110000
skr	1010100
sk'	1100110
swll	0000100
swr	1100000
sw'	1100000
sym	1100000
syf	1101000
sdr	1100000
sdb	1101100
sdd	1100100
sgsg	1100000
sgbgb	0110000
sgd	1001000
sgg	1010000
sgT	1100000
sT*	1100000
sTm	1010000
sTT	0000100
sT'	0010110
sfsf	0110000	0110000
sfr	1110100
sfn	1010000
sff	1010100
sf'	1010010
s'l	0100000	1010000
s's'	1010000
s'q	1110010	1001000
s'b	1100010
s't	1110010
s'g	1100000
syr	0010000
sWlsWl	0110000
sWmsWm	0010000
rmsms	0110000
rmrm	1100000
rmd	0000110
rmTmT	0110000	0110000	0110000
rsrs	1010000
rs'	1100010
rxn	1100000
rqq	1110100
rbrb	1110100
rbx	1100110
rbtbt	0110000
rby*	0000100
rbdbd	0110000
rb'	1010100
rt'	1100000
rks	1010100
rkb	0101010
rkfkf	0110000
rk'	1010000
rkWt	0000100
rwT	0000100	1010010
rzm	1011100
rd'	1100100	0110000	0010000
rgm	1000100
rgrg	0110000
rgb	0000110
rgz	0111000
rgd	1011000
rgdgd	0100000	0010000
rgT	1101110	0000010	0000010	0001010
rgf	1000100
rgfgf	0110000
rg'	1010010
rTb	1110100
rTT	1100000
rC*	1100100
rfrf	1100000
rfq	0010000
rfd	1010000
r's	1010000	0110000
r'r'	1010000
r'q	1010010
rqWt	0110000
r'b	1100000
r'd	1010000
xll	0000010
xlm	1100010
xlxl	1100000
xlqq	1100000
xlb	0010000
xlt	1110000
xlff	1100000
xmq	1010000
xmqq	1110100
xmdmd	0110000
xmWnmWn	0110000
xmWTT	0000100
xrmWT	1000100
xrr	0000100
xrxr	1100000	0110100	0010100	0010100
xrtt	0000100
xrk	0000100
xrkrk	0100000
xrkt	1100000
xrT	0110000
xrf	1101010
xx*	1010000
xxg	1100000
xqxq	0100000	1010000	0110000
xqWmqWm	0110000
xqWTqWT	0110000
xbll	1100000
xblbl	0110000
xbr	0110000
xbrq	0010000
xbrk	0010000
